,as_of,ticker
5063,2021-08-04,NI
5064,2010-12-09,CASY
5065,2011-03-09,CASY
5068,2021-11-03,NI
5069,2022-02-23,NI
5070,2011-09-09,CASY
5071,2011-12-08,CASY
5072,2012-03-08,CASY
5073,2012-06-26,CASY
5074,2013-09-09,CASY
5075,2013-12-09,CASY
5079,2014-03-10,CASY
5080,2014-06-27,CASY
5081,2014-09-08,CASY
5082,2014-12-10,CASY
5083,2022-08-03,NI
5084,2022-11-07,NI
5085,2023-02-22,NI
5089,2025-08-06,NI
5090,2025-10-29,NI
5091,2026-02-11,NI
5093,2015-03-09,CASY
5094,2015-06-26,CASY
5095,2016-09-06,CASY
5098,2016-12-07,CASY
5099,2017-03-06,CASY
5100,2016-06-27,CASY
5101,2018-06-29,CASY
5102,2018-09-10,CASY
5103,2018-12-10,CASY
5104,2019-03-11,CASY
5107,2019-06-28,CASY
5111,2020-06-26,CASY
5113,2020-12-07,CASY
5114,2021-03-08,CASY
5115,2021-06-25,CASY
5116,2021-09-08,CASY
5118,2021-12-07,CASY
5119,2022-03-08,CASY
5120,2022-06-24,CASY
5126,2024-03-11,CASY
5127,2024-06-24,CASY
5128,2023-09-11,CASY
5129,2023-12-11,CASY
5130,2024-09-04,CASY
5131,2024-12-09,CASY
5132,2025-03-11,CASY
5136,2025-09-08,CASY
5137,2025-12-09,CASY
5138,2026-03-09,CASY
5139,2026-06-22,CASY
5321,2011-02-17,NSC
5326,2010-04-30,NSC
5327,2010-07-30,NSC
5332,2010-10-29,NSC
5333,2011-04-29,NSC
5336,2011-08-09,CBOE
5337,2012-02-28,CBOE
5338,2012-08-07,CBOE
5339,2011-11-08,CBOE
5340,2013-02-28,CBOE
5341,2012-05-08,CBOE
5344,2013-08-06,CBOE
5345,2014-05-06,CBOE
5346,2014-02-14,NSC
5347,2014-04-23,NSC
5348,2014-07-23,NSC
5349,2014-10-22,NSC
5350,2015-02-11,NSC
5351,2015-04-29,NSC
5352,2014-08-06,CBOE
5353,2013-11-05,CBOE
5354,2014-02-21,CBOE
5355,2015-05-06,CBOE
5356,2015-08-06,CBOE
5357,2015-11-03,CBOE
5358,2016-02-19,CBOE
5359,2016-05-03,CBOE
5360,2016-08-02,CBOE
5361,2016-11-08,CBOE
5362,2017-05-11,CBOE
5364,2015-07-27,NSC
5365,2017-08-04,CBOE
5366,2017-11-07,CBOE
5367,2018-02-22,CBOE
5369,2019-02-22,CBOE
5370,2018-05-04,CBOE
5371,2015-10-28,NSC
5372,2016-02-08,NSC
5373,2016-04-22,NSC
5374,2020-07-29,NSC
5375,2020-10-28,NSC
5380,2010-11-04,IFF
5381,2021-04-28,NSC
5382,2021-07-28,NSC
5383,2021-10-27,NSC
5384,2018-08-03,CBOE
5385,2018-11-02,CBOE
5386,2019-05-03,CBOE
5387,2019-08-02,CBOE
5388,2022-04-27,NSC
5389,2022-10-26,NSC
5390,2023-02-03,NSC
5391,2023-04-26,NSC
5392,2025-04-23,NSC
5393,2025-07-29,NSC
5394,2025-10-23,NSC
5395,2026-04-24,NSC
5396,2026-07-23,NSC
5399,2020-05-01,CBOE
5400,2020-07-31,CBOE
5401,2020-10-30,CBOE
5404,2021-02-19,CBOE
5408,2021-07-30,CBOE
5409,2021-10-29,CBOE
5410,2022-02-18,CBOE
5411,2022-04-29,CBOE
5413,2023-02-17,CBOE
5414,2023-05-05,CBOE
5415,2023-08-04,CBOE
5416,2024-11-01,CBOE
5419,2026-02-20,CBOE
5426,2025-05-02,CBOE
5427,2025-08-01,CBOE
5428,2025-10-31,CBOE
5469,2017-11-09,CBRE
5470,2018-05-10,CBRE
5471,2018-08-09,CBRE
5477,2018-11-09,CBRE
5478,2019-03-01,CBRE
5483,2019-05-10,CBRE
5484,2019-08-09,CBRE
