,as_of,ticker
8589,2009-08-05,RF
8593,2010-02-22,RF
8594,2009-11-04,RF
8595,2011-03-18,RF
8600,2010-05-05,RF
8601,2011-08-04,RF
8606,2014-02-21,RF
8610,2011-03-01,MNST
8611,2014-05-07,RF
8615,2014-08-06,RF
8620,2014-11-05,RF
8621,2015-02-17,RF
8627,2016-05-06,RF
8628,2016-08-05,RF
8629,2016-11-04,RF
8630,2017-05-05,RF
8631,2017-08-04,RF
8632,2017-11-08,RF
8633,2019-02-22,RF
8634,2018-05-09,RF
8635,2018-08-08,RF
8636,2018-11-07,RF
8642,2020-11-05,RF
8648,2021-08-06,RF
8653,2021-11-04,RF
8654,2025-02-21,RF
8658,2025-11-04,RF
8659,2026-02-24,RF
8660,2026-05-07,RF
8812,2010-07-30,CPT
8813,2010-11-05,CPT
8814,2011-07-29,CPT
8815,2011-11-04,CPT
8818,2012-02-17,CPT
8819,2012-04-27,CPT
8821,2012-08-03,CPT
8822,2012-11-02,CPT
8823,2013-02-15,CPT
8827,2013-05-03,CPT
8828,2013-07-26,CPT
8829,2013-11-01,CPT
8833,2014-02-21,CPT
8834,2014-05-07,CPT
8840,2014-08-01,CPT
8841,2014-10-31,CPT
8842,2015-02-20,CPT
8843,2015-05-01,CPT
8845,2015-07-31,CPT
8846,2015-10-30,CPT
8847,2016-10-28,CPT
8848,2016-04-29,CPT
8853,2017-02-13,CPT
8859,2019-02-15,CPT
8860,2017-07-28,CPT
8861,2018-10-26,CPT
8862,2019-05-03,CPT
8872,2019-07-26,CPT
8873,2019-11-01,CPT
8874,2020-02-20,CPT
8875,2020-05-08,CPT
8876,2020-07-31,CPT
8877,2020-10-30,CPT
8878,2021-07-30,CPT
8883,2021-10-29,CPT
8884,2022-02-17,CPT
8889,2022-04-29,CPT
8890,2022-07-29,CPT
8891,2023-10-27,CPT
8895,2025-02-20,CPT
8896,2024-05-03,CPT
8897,2024-08-02,CPT
8898,2024-11-01,CPT
8906,2025-05-02,CPT
8907,2025-08-01,CPT
8908,2025-11-07,CPT
8913,2026-05-01,CPT
8978,2020-05-06,ROP
8983,2020-08-05,ROP
8984,2020-11-04,ROP
9003,2022-08-03,ROP
9004,2022-11-02,ROP
9007,2023-02-27,ROP
9008,2023-05-03,ROP
9009,2023-08-03,ROP
9010,2023-11-02,ROP
9011,2024-02-22,ROP
